Modèle,Direction,MRR,Hits@1,Hits@3,Hits@10,MR
TransE,head,0.1132,0.044,0.1243,0.2501,906.0657
TransE,tail,0.1975,0.1117,0.2224,0.3685,1054.3389
TransE,both,0.1554,0.0778,0.1733,0.3093,980.2023
ComplEx,head,0.0142,0.0028,0.0111,0.0289,9873.2461
ComplEx,tail,0.0319,0.0157,0.0298,0.0689,10204.958
ComplEx,both,0.0231,0.0092,0.0205,0.0489,10039.1016
